模仿游戏,2014,8.7,164
纵横四海,1991,8.8,165
黑客帝国3：矩阵革命,2003,8.8,166
达拉斯买家俱乐部,2013,8.8,167
岁月神偷,2010,8.7,168
头脑特工队,2015,8.7,169
心迷宫,2014,8.7,170
你的名字。,2016,8.4,171
记忆碎片,2000,8.7,172
寄生虫,2019,8.8,173
忠犬八公物语,1987,9.2,174
荒蛮故事,2014,8.8,175
海街日记,2015,8.8,176
爆裂鼓手,2014,8.7,177
真爱至上,2003,8.6,178
贫民窟的百万富翁,2008,8.6,179
惊魂记,1960,9.0,180
东邪西毒,1994,8.6,181
哈利·波特与火焰杯,2005,8.6,182
萤火虫之墓,1988,8.7,183
黑天鹅,2010,8.6,184
小偷家族,2018,8.7,185
绿里奇迹,1999,8.9,186
无敌破坏王,2012,8.7,187
你看起来好像很好吃,2010,8.9,188
冰川时代,2002,8.6,189
爱在午夜降临前,2013,8.8,190
九品芝麻官,1994,8.6,191
雨人,1988,8.7,192
疯狂的石头,2006,8.5,193
恋恋笔记本,2004,8.5,194
恐怖游轮,2009,8.5,195
雨中曲,1952,9.1,196
魔女宅急便,1989,8.7,197
奇迹男孩,2017,8.6,198
色，戒,2007,8.5,199
2001太空漫游,1968,8.8,200
虎口脱险,1966,8.9,201
海边的曼彻斯特,2016,8.6,202
人工智能,2001,8.7,203
可可西里,2004,8.8,204
城市之光,1931,9.3,205
房间,2015,8.8,206
二十二,2015,8.7,207
罗生门,1950,8.8,208
初恋这件小事,2010,8.4,209
终结者2：审判日,1991,8.7,210
大佛普拉斯,2017,8.7,211
遗愿清单,2007,8.7,212
牯岭街少年杀人事件,1991,8.9,213
波西米亚狂想曲,2018,8.7,214
源代码,2011,8.5,215
魂断蓝桥,1940,8.8,216
新龙门客栈,1992,8.6,217
青蛇,1993,8.6,218
疯狂的麦克斯4：狂暴之路,2015,8.6,219
无耻混蛋,2009,8.6,220
步履不停,2008,8.8,221
血钻,2006,8.7,222
燃情岁月,1994,8.8,223
东京教父,2003,9.0,224
海洋,2009,9.1,225
无间道2,2003,8.6,226
彗星来的那一夜,2013,8.5,227
谍影重重2,2004,8.7,228
穿越时空的少女,2006,8.6,229
